date,0x20240208,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0xa5f7a4b7,NA,0xe16f1054,NA,0xcadf9b86,NA,0x7ab19a81,NA,0x86935caa,NA,0xbbe6322e,NA,0x9391055,NA,0x151ad664,NA,0x4c15a77a,NA,0x9fbde3a4,NA,0x1b39159a,NA,end
max_current,285,NA,1069,NA,1761,NA,10910,NA,1599,NA,5000,NA,3000,NA,450,NA,1000,NA,1150,NA,5000,NA,end
fcc,5260,NA,5396,NA,5318,NA,5124,NA,5076,NA,5054,NA,5180,NA,5056,NA,5014,NA,5156,NA,5006,NA,end
0,2373,285,562,1068,707,1758,66,6407,2310,1599,755,5058,196,3043,1838,472,824,1014,1991,1150,176,4993,end
1,3172,284,838,1069,488,1759,99,10910,587,1486,195,5101,299,3044,1838,472,824,1014,812,1150,176,4993,end
2,3194,282,838,1069,526,1759,92,9839,636,1477,139,5048,239,3046,1856,461,875,996,806,1150,194,4888,end
3,3215,282,878,1069,538,1759,90,9072,597,1475,199,4988,300,3052,1996,453,886,985,801,1150,148,4872,end
4,3267,280,888,1068,489,1759,99,9074,588,1473,199,4946,339,3046,1898,447,884,977,860,1150,199,4712,end
5,3308,278,862,1068,522,1760,99,9073,638,1473,149,4897,299,3053,2014,443,887,973,798,1150,189,4747,end
6,3153,279,867,1069,539,1759,99,9080,589,1471,189,4862,239,3048,1958,441,887,971,830,1150,199,4772,end
7,3366,279,839,1068,539,1760,99,9078,638,1469,147,4974,299,3048,2018,441,887,971,825,1150,149,4783,end
8,3214,278,874,1069,488,1760,101,9078,588,1468,198,4941,299,3052,1944,441,885,971,825,1150,199,4784,end
9,3219,278,875,1069,548,1760,89,9076,635,1467,198,4879,289,3051,2043,440,937,970,803,1149,199,4770,end
10,3341,278,886,1069,489,1760,118,8630,638,1462,138,4944,299,3057,1959,440,882,970,867,1147,139,4732,end
11,3241,278,829,1068,539,1760,99,9015,588,1460,198,4948,289,3058,2012,440,888,968,818,1145,195,4964,end
12,3225,277,889,1068,489,1760,97,9010,637,1458,191,5125,299,3052,1967,439,888,967,811,1145,199,5012,end
13,3223,278,888,1068,539,1761,95,9008,589,1455,139,5104,289,3054,2069,438,936,967,815,1142,170,4989,end
14,3360,277,826,1069,539,1760,99,9018,637,1453,199,5049,299,3059,1964,438,887,964,807,1140,187,3995,end
15,3226,276,886,1069,498,1760,101,7284,637,1450,149,4981,289,3058,2049,437,936,965,862,1138,248,3898,end
16,3290,275,838,1069,538,1760,149,7288,586,1449,197,5007,299,3058,1970,433,937,961,808,1135,199,3882,end
17,3380,275,879,1068,489,1761,99,7293,638,1447,188,4962,299,3058,2059,435,886,961,857,1131,248,3876,end
18,3269,275,869,1068,539,1759,149,7291,589,1445,149,4863,289,3057,1961,433,888,959,816,1131,239,3836,end
19,3288,274,837,1068,489,1761,89,7289,639,1444,192,5113,299,3058,2058,432,938,958,865,1130,199,3825,end
20,3421,274,877,1069,539,1761,149,7290,638,1441,149,5089,289,3059,2017,431,881,956,817,1128,248,3865,end
21,3232,273,839,1068,539,1761,99,7291,638,1440,182,5217,249,3059,2114,431,937,955,817,1127,249,3855,end
22,3305,272,888,1069,498,1760,149,7295,637,1440,199,4863,289,3058,1968,430,886,955,866,1128,188,3936,end
23,3307,272,838,1069,537,1760,99,7296,587,1439,149,4837,299,3061,2120,429,937,953,815,1127,247,3891,end
24,3389,272,875,1069,489,1760,139,7298,648,1437,189,4838,299,3063,1969,429,936,954,818,1125,249,3852,end
25,3314,272,888,1068,539,1759,99,7295,632,1437,198,4958,289,3063,2107,429,887,952,866,1124,199,3843,end
26,3281,272,838,1069,539,1759,149,7297,637,1438,149,4947,299,3063,2010,428,936,951,817,1123,249,3836,end
27,3468,272,878,1069,499,1759,99,7295,639,1434,197,5034,289,3061,2063,428,888,949,856,1124,239,3821,end
28,3293,271,832,1069,538,1759,149,7298,589,1435,139,4950,299,3064,2020,428,937,950,877,1122,249,3504,end
29,3305,272,887,1068,489,1759,99,7299,633,1435,199,4913,289,3061,2118,428,938,948,803,1124,249,3473,end
30,3427,271,838,1069,536,1759,149,7301,689,1432,188,5246,299,3063,2016,428,937,950,817,1121,239,3458,end
31,3331,271,889,1068,539,1758,109,7298,588,1434,149,5005,299,3064,2065,428,887,949,872,1121,248,3437,end
32,3277,271,838,1068,499,1758,144,7297,639,1432,189,5015,288,3062,2005,428,937,948,808,1118,297,3423,end
33,3344,271,878,1068,539,1756,99,7233,639,1430,198,5065,299,3068,2114,427,937,948,866,1121,248,3416,end
34,3441,271,886,1069,489,1756,140,7231,638,1429,149,5069,289,3065,2018,427,887,947,866,1120,238,3407,end
35,3323,269,838,1068,538,1756,149,7230,636,1429,189,4993,249,3061,2112,428,937,947,816,1117,298,3396,end
36,3309,270,889,1068,548,1754,93,7229,587,1427,149,4959,289,3061,2019,427,936,946,817,1118,249,3386,end
37,3438,271,838,1068,487,1753,149,5941,639,1424,198,4966,299,3066,2071,426,888,945,918,1115,248,3388,end
38,3381,270,887,1068,529,1750,149,5941,639,1423,199,4897,299,3068,2068,426,947,944,806,1116,288,3388,end
39,3262,270,838,1068,538,1751,149,5943,649,1422,139,4873,289,3063,2107,426,935,944,816,1113,249,3372,end
40,3501,269,888,1069,498,1751,149,5943,637,1421,199,4885,299,3065,2020,425,937,942,875,1113,249,3345,end
41,3346,269,877,1069,538,1746,199,5944,639,1420,193,5163,289,3070,2122,424,937,942,857,1113,238,3439,end
42,3388,269,839,1068,538,1744,139,5945,636,1418,149,5099,299,3066,2016,425,887,942,816,1111,296,3448,end
43,3289,269,886,1068,539,1743,149,5942,637,1416,189,5063,299,3070,2115,425,977,940,865,1111,248,3428,end
44,3540,268,838,1068,497,1740,149,5945,638,1414,149,5027,289,3071,2018,424,936,941,866,1111,248,3405,end
45,3296,269,887,1069,537,1738,149,5940,639,1413,194,5018,299,3069,2114,424,935,938,817,1108,238,3406,end
46,3391,268,839,1068,537,1738,149,5946,639,1411,189,4988,289,3071,2011,423,888,938,863,1107,298,3389,end
